sample_id,fold,sample_index,degradation,strength,target_side,vif
fold2_0975,2,975,defocus,0.0,,1
fold2_1502,2,1502,defocus,0.0,,1
fold2_1977,2,1977,defocus,0.0,,1
fold3_1749,3,1749,defocus,0.0,,1
fold1_1142,1,1142,defocus,0.0,,1
fold2_1723,2,1723,defocus,0.0,,1
fold1_1157,1,1157,defocus,0.0,,1
fold3_2198,3,2198,defocus,0.0,,1
fold1_1044,1,1044,defocus,0.0,,1
fold3_2531,3,2531,defocus,0.0,,1
fold1_1411,1,1411,defocus,0.0,,1
fold2_2295,2,2295,defocus,0.0,,1
fold1_0891,1,891,defocus,0.0,,1
fold1_1763,1,1763,defocus,0.0,,1
fold1_0061,1,61,defocus,0.0,,1
fold2_2200,2,2200,defocus,0.0,,1
fold2_2315,2,2315,defocus,0.0,,1
fold3_1567,3,1567,defocus,0.0,,1
fold1_2155,1,2155,defocus,0.0,,1
fold1_0943,1,943,defocus,0.0,,1
fold1_1324,1,1324,defocus,0.0,,1
fold3_2259,3,2259,defocus,0.0,,1
fold1_1894,1,1894,defocus,0.0,,1
fold3_2387,3,2387,defocus,0.0,,1
fold3_1603,3,1603,defocus,0.0,,1
fold1_2491,1,2491,defocus,0.0,,1
fold2_1851,2,1851,defocus,0.0,,1
fold2_2388,2,2388,defocus,0.0,,1
fold3_2463,3,2463,defocus,0.0,,1
fold3_2187,3,2187,defocus,0.0,,1
fold2_2089,2,2089,defocus,0.0,,1
fold1_1297,1,1297,defocus,0.0,,1
fold3_0885,3,885,defocus,0.0,,1
fold2_1149,2,1149,defocus,0.0,,1
fold2_1369,2,1369,defocus,0.0,,1
fold3_2407,3,2407,defocus,0.0,,1
fold1_2526,1,2526,defocus,0.0,,1
fold3_2148,3,2148,defocus,0.0,,1
fold3_0880,3,880,defocus,0.0,,1
fold2_1440,2,1440,defocus,0.0,,1
fold1_0976,1,976,defocus,0.0,,1
fold2_1492,2,1492,defocus,0.0,,1
fold2_0426,2,426,defocus,0.0,,1
fold1_2587,1,2587,defocus,0.0,,1
fold1_2283,1,2283,defocus,0.0,,1
fold2_2168,2,2168,defocus,0.0,,1
fold2_2097,2,2097,defocus,0.0,,1
fold1_0944,1,944,defocus,0.0,,1
fold2_1268,2,1268,defocus,0.0,,1
fold3_1494,3,1494,defocus,0.0,,1
fold1_2579,1,2579,defocus,0.0,,1
fold3_2494,3,2494,defocus,0.0,,1
fold2_0844,2,844,defocus,0.0,,1
fold3_1686,3,1686,defocus,0.0,,1
fold1_2540,1,2540,defocus,0.0,,1
fold2_2381,2,2381,defocus,0.0,,1
fold3_1637,3,1637,defocus,0.0,,1
fold2_2219,2,2219,defocus,0.0,,1
fold3_0308,3,308,defocus,0.0,,1
fold2_1806,2,1806,defocus,0.0,,1
fold1_2465,1,2465,defocus,0.0,,1
fold2_2031,2,2031,defocus,0.0,,1
fold2_1402,2,1402,defocus,0.0,,1
fold3_0958,3,958,defocus,0.0,,1
fold3_1581,3,1581,defocus,0.0,,1
fold2_2415,2,2415,defocus,0.0,,1
fold1_2583,1,2583,defocus,0.0,,1
fold3_1026,3,1026,defocus,0.0,,1
fold2_2154,2,2154,defocus,0.0,,1
fold1_2242,1,2242,defocus,0.0,,1
fold3_2415,3,2415,defocus,0.0,,1
fold3_2513,3,2513,defocus,0.0,,1
